Country,Suicide prevention programme,Mental Health Awareness /Anti- stigma,Early Child Development,School based mental health prevention and promotion,Parental / Maternal mental health promotion and prevention,Work-related mental health prevention and promotion,"Mental health and psychosocial component of disaster preparedness, disaster risk reduction"
Afghanisthan,"-,-,-,-","peace of mind, national, NGO, yes","-,-,-,-","preventation of mental disorder for young children, distrct,ngo,yes",??,??,??
Albania,"-,-,-,-","Awerness Campaign Calendar,National ,Government ,Yes","Home visiting programme,Regional ,Government ,No","-,-,-,-","-,-,-,-","Mental Health Promotion and Intervention in 
Occupational Settings Project,National ,NGO ,No","Mental Health and Psychosocial Support in 
Emergencies,National ,NGO ,No"
Algeria,"-,-,-,-",-,"-,-,-,-","-,-,-,-","-,-,-,-",-,-
Andorra,"-,-,-,-",-,"Development Unit, National, Jointly managed","-,-,-,-","-,-,-,-",-,-
Antigua and Barbuda,"-,-,-,-",-,"-,-,-,-","-,-,-,-","-,-,-,-",-,-
Argentina,"-,-,-,-",-,"Programa Nacional de Desarrollo de Seguros Públicos 
de Salud, National, Govenment, Yes","Programa Nacional de Salud Escolar, National, Government, Yes","Programa Nacional de Desarrollo de Seguros Públicos 
de Salud, National, Government, Yes",-,-
Armenia,"-,-,-,-",-,"-,-,-,-","-,-,-,-","-,-,-,-",-,-
Australia,"The Way Back Support Service, National, Jointly Managed, Yes","National Workforce Centre for Child Mental Health, National, NGO, Yes","Family Mental Health Support Services (FMHSS),, National, NGO, Yes","Mental Health in Education (Known as Be You),National, NGO, Yes","National Perinatal Mental Health and Wellbeing 
Program, National, NGO, Yes","National Workplace Initiative, National, NGO, Yes","Australian government mental health response to 
bushfire trauma, National, NGO, Yes"
Azerbaijan,"-,-,-,-","Integrated into national MHA programmes, National, NGO, Yes","-,-,-,-","Integrated into national SBMH programmes, National, NGO, Yes","-,-,-,-",-,"Integrated into national DRR programmes, National, NGO, Yes"
Bahamas,"-,-,-,-",-,"Neurodevelopment Clinic, Regional, Government, -","Mental Health Literacy Programme, Regional, Government, -","Parent Craft, Regional Government, -",-,"MHPSS Network, National, Jointly managed, -"
Bahrain,"Integration of mental clinics in primary carescreening programs for adolescents including 
screening and dealing with high-risk patient of suicide, National, Government, Yes","Mental Health Awareness Workshops in Primary 
Health Care, National, Government, Yes","Mother and Child Care Unit, National, Government, Yes","School mental health program, National, Government, Yes","Mother and Child Care Unit, National, Government, Yes","Psychiatric hospital internal disaster plan, National, Government, Yes","Mental Health Promotion and Prevention during 
National Crises. (Domain of Mental health strategy 
2022-2026)/the national team to combat pandemic of 
corona virus (2020), National, Government, Yes"
Bangladesh,"Integrated in Mental Health operational plan, National, Jointly Managed, Yes","Workshop on responsible reporting of suicide for 
media professionals, National, Jointly Managed, Yes","Bangladesh ECD network, National, Jointly Managed, Yes","Workshops on ""Youth engagement in mental health"", National, Jointly Managed, Yes","Supporting maternal mental health of Rohinga 
refugee women during the perinatal period to 
promote child health and wellbeing, National, Jointly Managed, Yes","Seminar on mental health in workplace, National, Jointly Managed, Yes","Training on crisis preparedness and management for 
mental health (CPM-MH, National, Jointly Managed, Yes"
Barbados,"-,-,-,-",-,"-,-,-,-","-,-,-,-","-,-,-,-",-,-
Belarus,"-,-,-,-",-,"-,-,-,-","-,-,-,-","-,-,-,-",-,-
Belgium,"Flemish Health Goal Suicide Prevention/ Flemish 
Action Plan Suicide Prevention, Regional, Jointly Managed, Yes","Te gek (Flemish Region); Appétit des indigestes 
(Brussels Capital Region) PFCSM, Regional, Jointly Managed, Yes","-,-,-,-","-,-,-,-","Towards integrated antenatal care, Regional, Jointly Managed, Yes",-,-
Belizer,"-,-,-,-",-,"-,-,-,-","Mental Health Literacy in Schools, National, Government, No","-,-,-,-","Part of annual operation plan,National, Government, No","Disaster related MHPSS for nurses & health personnel, National, Government, Yes"
Benin,"-,-,-,-","Plan Bénin, National, Government, yes","-,-,-,-","CILAS Bénin, National, Government, yes","-,-,-,-",-,-
Bhutan,"National Suicide prevention program, National, Government, Yes","Health Promotion Division, National, Government, Yes","IMNCI and RH Program, National, Government, Yes","School Health and Adolescent health Program, National, Government, Yes","Reproductive Health Program, National, Government, Yes","Occupational Health Program, National, Government, Yes","There is different Department under the Ministry of 
Home and Cultural Affairs, National, Government, Yes"
Bolivia,"-,-,-,-",-,"-,-,-,-","-,-,-,-","-,-,-,-",-,-
Bosnia and Herzegovina,"Integrated into regional SP programmes, Regional, Government, Yes","Integrated into district MHA programmes, District, NGO, Yes","Integrated into district ECD programmes, District, Government, Yes","Integrated into regional SBMH programmes, Regional, Government, Yes","-,-,-,-",-,"Integrated into regional DRR programmes, Regional, Government, Yes"
Botswana,"-,-,-,-","Commemorations, District, Jointly Managed, Yes","Special Population, District, Jointly Managed, Yes","School Health Progam, District, Jointly Managed, Yes","Maternal Mental Health, District, Jointly Managed, Yes","Mental Health in the workplace, District, Jointly Managed, Yes","District Response Team, District, Jointly Managed, Yes"
Brazil,"Política Nacional de Prevenção da Automutilação e do 
Suicídio, regulamenta a Política Nacional de Prevenção da 
Automutilação e do Suicídio e estabelece normas relativas à 
notificação compulsória de violência autoprovocada., National, Government, Yes","Programa de Volta para Casa, National, Government, Yes","Programa Saúde na Escola, National, Government, Yes","Programa Saúde na Escola, National, Government, Yes","-,-,-,-",-,"Centro de Operações de Emergências em Saúde 
Pública, National, Government, Yes"
Brunei Darussalam,"Hope Line 145, National, Government, Yes","i-Mind Programme, National, Government, Yes","Child Development Centre, National, Government, Yes","Bully Free Brunei Program, National, Government, Yes","-,-,-,-","Mind-your-mind Programme, National, Government, Yes",-
Bulgaria,"-,-,-,-",-,"Early Child Development, Regional, NGO, No","-,-,-,-","-,-,-,-",-,-
Burkina Faso,,-,"-,-,-,-","-,-,-,-","-,-,-,-",-,-
Burundi,"-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-"
Cabo Verde,,,,,,,
Cambodia,,,,,,,
Cameroon,,,,,,,
Canada,"Canada Suicide Prevention Service, National, NGO, Yes","Promoting Health Equity: Mental Health of Black 
Canadians Fund, National, NGO, Yes","Community Action Program for Children (CAPC), National, NGO, Yes","Canada Prenatal Nutrition Program (CPNP), National, NGO, Yes","Mental Health Promotion Innovation Fund (MHP-IF), National, Government, Yes",-,-
Chad,-,"Programme National de Santé Mentale,-,-,-",-,-,-,-,-
Chile,"Programa Nacional de Prevención de Suicidio, National, Government, Yes",-,"Chile Crece Contigo, National, Government, Yes","Programa de Salud Mental en Atención Primaria de 
Salud Habilidades para la Vida, National, Government, Yes","Chile Crece Contigo Programa Familias Fuertes, National, Government, Yes",-,"Chile Crece Contigo Protección de la Salud mental en 
la Gestión del Riesgo de Desastres, National, Government, Yes"
China,-,"Healthy China Action Plan: Mental Health Promotion 
Action, National, Government, Yes","Healthy China Action Plan, National, Government, Yes","Healthy China Action Plan -Children and Adolescent 
Mental Health Action, National, Government, Yes","Healthy China Action Plan - Maternal Health Action, National, Government, Yes","Healthy China Action Plan - Mental Health Promotion 
Action, National, Government, Yes","Healthy China Action Plan - Mental Health Promotion 
Action, National, Government, Yes"
Colombia,"Las acciones están incluidas en el eje 2 de la Política 
de Salud Mental, National, Government, Yes","Eje de Promoción de la Salud de la Política Nacional 
de Salud Mental, National, Government, Yes","Eje de Promoción de la Salud de la Política Nacional 
de Salud Mental, National, Government, Yes","Eje de Promoción de la Salud de la Política Nacional 
de Salud Mental, National, Government, Yes","Eje de Promoción de la Salud de la Política Nacional 
de Salud Mental, National, Government, Yes","Eje de Promoción de la Salud de la Política Nacional 
de Salud Mental, National, Government, Yes","Eje de Promoción de la Salud de la Política Nacional 
de Salud Mental, National, Government, Yes"
Democratic Republic of the Congo,-,"Programme National de Santé Mental, National, Government, Yes","Programme National Santé Adolexcent,-,-,No",-,-,-,-
Cook Islands,"Suriving the storm, National, Government, Yes",-,-,-,-,-,-
Costa Rica,"Normativa Nacional para la articulación 
interinstitucional en el abordaje integral del 
comportamiento suicida, National, Jointly managed, Yes","Programa de atención integral del comportamiento 
suicida, National, Jointly managed, Yes","Programa CENCI-I, National, Jointly managed, yes","Salud escolar, National, Government, yes","Salud materno infantil, National, Goverment, Yes","Consejo de salud ocupacional, National, Government, yes","Reglamento a la Ley de emergencias y prevención del 
riesgo, No. 34361, -,-,-"
Côte d'Ivoire,,,,,,,
Croatia,,,,,,,
Cuba,-,-,-,-,-,-,"Componente de salud mental y psicosocial de la 
preparación frente a desastres, reducción del riesgo 
de desastres, National, Government, Yes"
Denmark,"National partnership for suicide prevention, National, Jointly Managed, Yes","En af os/One of us, National, NGO, Yes","Sundhedspleje/""health visitors"", National, Government, Yes","""Law on pupils' and students' learning environment"", National, Government, -",-,"National partnership for mental health in the 
workplace, National, Jointly Managed, Yes","Leaflets with good advice for mentally vulnerable 
people, their relatives and professionals including 
advice for families with children and young people 
with mental vulnerability and advice on mental 
vulnerability and COVID-19, National, Government, No"
Djibouti,,,,,,,
Dominican Republic,-,-,"Centro de Atención Integral a la Primera Infancia, National, Jointly managed, yes","Proyecto de vida y escuelas saludables, National, Jointly managed, Yes",-,-,"Apoyo psicosocial en emergencias y desastres, National, Jointly Managed, Yes"
Ecuador,"Capacitación para cuidadores en prevención del 
suicidio, National, Government, No","Fortalecimiento e identificación de problemáticas de 
salud mental en comunidades a TAPS, National, Government, No","Protocolo de identificación de riesgo psíquico en la 
primera infancia, National, Government, No",-,-,"Salud y ambiente laboral, National, Government, No","Capacitación intervención en crisis, National, Government, No"
Egypt,"Psychological support hotline, National, Government, yes","Time to know about mental health – live’s worth 
living, National, Government, yes",-,"School mental health program, National, Government, yes","Strengthening family progra,. National, NGO, No","The Egyptian ambulance association mental health 
awareness program, National, Government, Yes","MHPSS Emergency Preparedness and Response 
Planning (EPRP), National, Government, -"
El Salva,"Promocion de la salud mental, prevención, identificación 
temprana y abordaje de la conducta suicida en adolescentes 
y mujeres jóvenes con énfasis en el embarazo, National, Government, no","Reglamento de la ley de salud mental, National, Government, no",-,"Guía técnica para facilitadores en atención psicosocial, -, -, -","Lineamientos técnicos para la atención integral de pacientes 
con trastornos mentales y del comportamiento prevalentes 
en el embarazo, parto y puerperio, National, Government, No","Ley general de prevención de riesgos en los lugares de 
trabajoLey general de prevención de riesgos en los lugares de 
trabajo, National, Government, Yes","Modelo de intervención en crisis en situaciones de 
emergencia y desastres plan nacional de gestión de riesgos a 
desastres plan de respuestas a emergencias a desastres con 
enfoque multi-amenazas, National, Government, No"
Equatorial Guinea,,,,,,,
Eritrea,,,,,,,
Estonia,-,"Black snow, National, NGO, No","Incredible years, National, NGO, No","Pax Good Behavior Game; KiVa, National, Jointly managed, No",-,"Integrated into national WR programmes, National, Government, No",-
Eswatini,-,"Integrated in the National Psychiatric Referral 
Hospital, National, Government,Yes",-,"Integrated into school health program, National, Government, Yes",-,"Integrated in the National Psychiatric Referral 
Hospital & Wellness Unit, National, Government, Yes",
Ethiopia,,,,,,,
Fiji,"SADS programe, National, Government, Yes","The program is integrated in all the outreach 
program., National, Jointly managed, No","Wellness Program – Maternal Child Health, National, Government, Yes","School Health Team, Regional, Government, Yes",,"Mental Health in The Workplace, National, Jointly managed, Yes","PFA through FEMAT (Fiji Emergency Medical 
Assistance Team), National, Jointly managed, yes"
Finland,"The National Mental Health Strategy and Suicide 
Prevention Agenda 2020–2030, National, Government, Yes","National Mental Health Strategy and Programme for 
Suicide Prevention, National, Government, yes","Not specific programme, but within the scope of the 
National Mental Health Strategy and other 
governmental programmes., -,-,-","KiVa antibullying program; health education as a 
school subject, National, Government, Yes","Not specific programme, but within the scope of the 
National Mental Health Strategy and other 
governmental programmes., -,-,-","Working life and good mental health –action plan, National,Government, Yes",-
France,"VigilanS, National, Jointly Managed, Yes","Mental Health First Aid/National “Anti-Stigma” Task 
Force, National, Jointly managed, Yes","1000 jours, National, Government, yes","Inclusive schools/Health promoting schools, National, Government, Yes","1000 jours, -,-,no","Occupational Health plan 3, -,-,-",-
Panama,"-,-,-,-","-,-,-,-","Programa de Niñez y Adolescencia, National, Government, Yes","Programa Comunidad sin violencia, National, Government, Yes","-,-,-,-","-,-,-,-","-,-,-,-"
Papua New Guinea,"General population awareness, National, Government, Yes","PNG Hour of Hope TV Program""Mental Health"", National, Government, Yes","Susu Mamas, Regional, NGO, Yes","Invest in Adolescence, National, Government, No","-,-,-,-","Healthy Mind in the Workplace, National, Government, No","Disaster Response Plan, National, Jointly Managed, Yes"
Paraguay,"-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","Retorno a la alegría, District, Jointly Managed, No"
Peru,"-,-,-,-","Convenio firmado entre el Ministerio de Salud y Fundación Manantial de Españ, National, Jointly Managed, Yes","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","Plan Integral de Reparaciones, National, Government, Yes"
Philippines,"National Center for Mental Health Crisis Hotline, National, Government, Yes","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","Mental Health and Psychosocial Support, National, Government, Yes"
Poland,"-,-,-,-","National Health Plan, National, Government, Yes","Integrated into national Parental/Maternal
programmes, National, Government, Yes","National Health Plan, National, Government, yes","-,-,-,-","National Health Plan, National, Government, Yes","-,-,-,-"
Portugal,"+Contigo, Regional, Government, Yes","Manifestamente, Regional, NGO, Yes","Promoção da Saúde Mental na Gravidez e PrimeiraInfância, National, Government, Yes","Programa Nacional de Saúde Escolar, National, Government, Yes","Promoção da Saúde Mental na Gravidez e PrimeiraInfância, National, Government, Yes","Programa Nacional de Saúde Ocupacional, National, Government, Yes","Respostas de saúde mental no Serviço Nacional deSaúde (SNS) e no âmbito do Sistema Integrado deEmergência Médica, National, Government, Yes"
Qatar,"-,-,-,-","Your Mind Matters, National, Government, Yes","Programme component built into integrated plansacross the system, National, Government, Yes","Mental Health in Schools Package, National, Government, Yes","Managing Mental Health Perinatel and PostPregnancy, National, Jointly Managed, Yes","Mental Health at Work & Managing Mental Health inthe Workplace, National, Government, Yes","No specific stand alone programme but component ofwider country plans, National, Government, Yes"
Republic Of Korea,"""Accopmpanying"", National, Jointly Managed, Yes","Integrated into national MHA programmes, National, Government, Yes","Integrated into national ECD programmes, National, Government, Yes","Integrated into national SBMH programmes, National, Government, Yes","Integrated into national Parental/Maternalprogrammes, National, Government, Yes","Integrated into national WR programmes, National, Government, Yes","Integrated onto national DMH programmes, National, Government, Yes"
Republic Of Moldova,"-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-"
North Macedonia,"-,-,-,-","Integrated into regional MHA programmes, Regional, NGO, No","-,-,-,-","-,-,-,-","Integrated into regional Parental/Maternalprogrammes, Regional, NGO, No","-,-,-,-","-,-,-,-"
Russian Federation,"-,-,-,-","Strategy for the Development of the Mental Health System in the Russian Federation until 2025 (May 2019), National, Government, Yes","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-"
Rwanda,"-,-,-,-","Prevention of drug abuse programme, National, Government, Yes","-,-,-,-","School-based Mental Health, Substance Abuse, and Adolescent Sexual & Reproductive Health, Jointly Managed, Yes","-,-,-,-","Rwanda Biomedical Centre staff mental well-being progamme, District, Government, Yes","-,-,-,-"
Saint Kitts and Nevis,"-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","Mental Health and Psychosocial Support, National, Jointly Managed, Yes"
Saint Lucia,"-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-"
Saint Vincent and The Grenadines,"Suicide prevention, District, Government, No","Mental Health awareness, National, Government, Yes","-,-,-,-","Mental health awareness and suicide awareness, District, Government, No","-,-,-,-","Mental wellness, National, Government, Yes","Psychological First aid and counselling, National, Government, Yes"
Saudi Arabia,"-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-"
Senegal,"-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","Integrated into national DRR programmes, National, Government, Yes"
Serbia,"-,-,-,-","Break down prejudices about mental disorders(#možedasedesisvakome), National, NGO, -","ECD, National, NGO, Yes","A guide to support the mental health and well-beingof pupils, students and staff in schools and collegesduring a ""state of uncertainty"", National, Government, -","CST (Caregiver skill training) for caregivers in familieswith children with developmental disorders Pregnantwomen and mothers - stay healthy and happy evenduring isolation, National, Jointly Managed, -","-,-,-,-","Disaster risk reduction, National, NGO, yes"
Seychelles,"-,-,-,-","Mental Health programme, National, Government, Yes","Child Health Programme, National, Government, Yes","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-"
Sierra Leone,"-,-,-,-","PFA Training on COVID-19 Anti-Stigma, National, Government, Yes","-,-,-,-","-,-,-,-","-,-,-,-","Integrated into national WR programmes, National, Government, Yes","Integrated into regional DRR programmes, Regional, Government, Yes"
Singapore,"SOS Suicide and Crisis Intervention Programme, National, NGO, Yes","Beyond the Label, National, Government, Yes","KidSTART, Regional, Government, Yes","Mental health programmes for children and youth,parents and educators, National, Government, Yes","-,-,-,-","Mental health programmes for employers and
employees, District, Government, Yes","National CARE* Management System (*Caring Actionin Response to Emergencies), National, Government, Yes"
Slovenia,"A (se) štekaš?!?, National, NGO, Yes","OMRA, National, NGO, Yes","Neverjetna leta, National, Jointly Managed, Yes","To sem jaz, National, Government, Yes","ZDAJ, National, Government, Yes","-,-,-,-","-,-,-,-"
Solomon Islands,"-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-"
Somalia,"-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-"
South Africa,"Suicide Life Line, National, NGO, Yes","South Africa Mental Health Advocacy Programme, National, Jointly Managed, Yes","Side by Side campaign, National, Jointly Managed, Yes","Psychosocial support for learners in Schools, National, Jointly Managed, Yes","Perinatal Mental Health Project, Regional, NGO, Yes","Employee Health and Wellness Programme, National, Jointly Managed, Yes","Provisions through the Republic of South AfricaDisaster Management Act, 2002, -, - , -"
Spain,"-,-,-,-","1 de cada 4. Estrategia andaluza contra el estigma ensalud mental, Regional, -, Yes","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-"
Sri Lanka,"National suicide prevention programme, Regional, Government, Yes","Mental Health Promotion Programme, National, Government, Yes","Early childhood development and care, National, Government, Yes","School health programme, National, Government, Yes","Maternal care programme, National, Government, Yes","Workplace mental well-being, District, Government, Yes","MHPSS in emergency, National, Jointly Managed, Yes"
Sudan,"-,-,-,-","Psycho-education (including mental illness stigma), National, Jointly Managed, Yes","Child metal health, National, Jointly Managed, Yes","School mental health, National, Jointly Managed, Yes","Child metal health, National, Jointly Managed, Yes","Equipation mental health, National, Jointly Managed, Yes","Mental Health Psychosocial support in emergancy, National, Jointly Managed, Yes"
Suriname,"-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-"
